,Date,Ta (°C),Tm (°C),I3 (W/m2),I15 (W/m2),P (kW)
2,2012-03-06 03:55:00,4.9,1.3,0.0,0.0,0.0
3,2012-03-06 04:55:00,4.7055,1.4246666666666667,0.0,0.0,0.0
4,2012-03-06 05:55:00,4.75,1.219,22.08983333333333,25.60983333333333,14.75265
5,2012-03-06 06:55:00,5.078666666666667,2.0031666666666665,153.42766666666668,186.60833333333338,127.16308333333333
6,2012-03-06 07:55:00,7.105,5.859666666666667,323.21383333333347,399.02316666666684,302.4557000000001
7,2012-03-06 08:55:00,10.76,16.7475,537.3063333333336,627.3845,504.22573333333344
8,2012-03-06 09:55:00,14.979000000000001,27.108166666666673,444.5533333333335,545.2656666666669,409.70235000000014
9,2012-03-06 10:55:00,16.50533333333333,33.09066666666667,575.4256666666666,645.6154999999998,521.7524333333333
10,2012-03-06 11:55:00,17.664166666666663,35.36666666666667,391.6356666666667,452.45200000000006,379.09365
11,2012-03-06 12:55:00,17.663166666666665,28.595,414.1451666666665,529.1498333333334,352.5185166666667
12,2012-03-06 13:55:00,17.5715,26.729333333333333,560.7076666666666,646.9453333333332,519.7916
13,2012-03-06 14:55:00,17.814166666666665,31.281833333333335,276.1431666666666,299.5493333333334,240.60786666666664
14,2012-03-06 15:55:00,16.541166666666665,22.953333333333333,156.12105263157892,164.1410526315789,135.16405263157898
15,2012-03-06 16:15:00,15.5,17.893500000000003,15.919666666666664,16.897000000000006,12.974349999999994
16,2012-03-06 17:57:00,13.179499999999999,10.363666666666665,0.0,0.0,0.0
17,2012-03-06 18:57:00,11.9885,7.481166666666667,0.0,0.0,0.0
18,2012-03-06 19:57:00,11.634,8.025166666666667,0.0,0.0,0.0
19,2012-03-06 20:57:00,10.9335,6.302333333333333,0.0,0.0,0.0
20,2012-03-06 21:47:00,10.4874,5.7132000000000005,0.0,0.0,0.0
27,2012-03-07 04:56:00,8.147833333333333,4.324666666666666,0.0,0.0,0.0
28,2012-03-07 05:56:00,8.315666666666667,4.751833333333333,24.36318181818182,26.27295454545454,16.82213636363636
29,2012-03-07 06:54:00,8.350249999999999,4.32625,155.5421666666667,181.4151666666667,139.22536666666662
30,2012-03-07 07:54:00,9.851666666666667,7.804166666666666,309.45349999999985,375.96683333333345,293.93938333333347
31,2012-03-07 08:54:00,11.902666666666667,14.088666666666668,548.4306666666668,645.9846666666665,511.9269000000001
32,2012-03-07 09:54:00,14.1315,24.8095,639.5715,709.907,571.0051166666668
33,2012-03-07 10:54:00,15.573833333333335,29.010499999999997,706.1861666666666,781.528,639.3058833333337
34,2012-03-07 11:54:00,17.00283333333333,38.762166666666666,370.6546666666666,301.1439999999999,335.8252666666667
35,2012-03-07 12:54:00,17.189000000000004,28.09266666666667,159.39900000000003,167.02466666666672,142.99441666666675
36,2012-03-07 13:54:00,15.3955,17.72,68.9765,65.6335,59.63633333333333
37,2012-03-07 14:54:00,13.755,13.934666666666667,40.47933333333333,43.44983333333332,33.889616666666676
38,2012-03-07 15:54:00,13.155166666666666,11.578166666666666,18.63633333333333,17.830666666666662,13.981766666666674
39,2012-03-07 16:54:00,13.054333333333332,11.628833333333333,3.06,3.4775,2.5467333333333317
40,2012-03-07 17:54:00,12.767833333333334,11.011666666666665,0.0,0.0,0.0
41,2012-03-07 18:54:00,12.191333333333333,9.520333333333333,0.0,0.0,0.0
42,2012-03-07 19:54:00,11.635833333333332,8.026666666666666,0.0,0.0,0.0
43,2012-03-07 20:54:00,11.352333333333332,8.107333333333333,0.0,0.0,0.0
44,2012-03-07 21:54:00,11.036333333333333,8.1895,0.0,0.0,0.0
51,2012-03-08 04:54:00,11.379333333333333,9.668333333333335,0.0,0.0,0.0
52,2012-03-08 05:54:00,11.095333333333334,10.069666666666667,0.0,0.0,0.0
53,2012-03-08 06:54:00,10.789499999999999,10.221166666666667,2.2565000000000004,2.1096666666666666,0.8877166666666667
54,2012-03-08 07:54:00,10.2325,9.827833333333333,102.25050000000002,101.39550000000003,79.22546666666668
55,2012-03-08 08:54:00,10.975499999999998,10.1035,259.331,285.28533333333337,237.02251666666672
56,2012-03-08 09:54:00,12.1695,14.539000000000001,440.14716666666664,425.2860000000001,379.4532833333333
57,2012-03-08 10:54:00,14.360833333333334,20.818500000000004,575.0285000000001,610.3663333333332,504.7698333333334
58,2012-03-08 11:54:00,15.6775,25.18483333333333,537.8454999999999,662.1185000000003,469.1977999999998
59,2012-03-08 12:54:00,17.3585,30.12783333333334,496.6968333333332,531.1483333333334,435.14514999999994
60,2012-03-08 13:54:00,18.528666666666666,30.081500000000002,446.4411666666668,473.3485,393.2717333333332
61,2012-03-08 14:54:00,18.39,28.90233333333333,198.5911666666667,234.55316666666664,182.72850000000008
62,2012-03-08 15:54:00,17.1285,22.251833333333334,164.46599999999998,159.29599999999996,124.5199666666667
63,2012-03-08 16:54:00,15.825000000000001,17.328333333333333,48.33983333333335,47.77549999999999,36.75556666666668
64,2012-03-08 17:54:00,14.705666666666666,14.312666666666665,0.0,0.0,0.0
65,2012-03-08 18:54:00,13.482500000000002,10.811000000000002,0.0,0.0,0.0
66,2012-03-08 19:54:00,13.052166666666666,10.343333333333334,0.0,0.0,0.0
67,2012-03-08 20:54:00,13.151666666666666,11.206666666666665,0.0,0.0,0.0
